站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404133317,3.0,1010.8,31,285,3.9,0.5,10496.4
58102,20230404133317,18.9,1001.3,39,234,9.1,1.2,10194.9
58118,20230404133317,30.0,1003.2,26,22,1.7,1.5,10120.9
58122,20230404133317,1.7,1025.4,45,193,14.0,0.8,10068.5
58203,20230404133317,3.3,1020.1,3,233,13.2,0.9,10310.2
58215,20230404133317,23.7,1014.9,57,28,14.2,1.4,10056.6
58221,20230404133317,9.3,1017.0,60,339,11.3,0.8,10336.0
58225,20230404133317,18.8,1002.2,21,233,11.2,0.0,10333.6
58236,20230404133317,3.1,1004.4,43,173,0.0,1.3,10399.1
58311,20230404133317,30.9,1006.7,57,356,3.6,0.8,10101.2
58314,20230404133317,14.2,1016.3,92,126,3.1,1.4,10042.0
58319,20230404133317,7.9,1021.4,92,168,11.6,0.7,10153.5
58321,20230404133317,15.7,1001.0,60,45,0.9,0.6,10454.4
58326,20230404133317,25.9,1002.1,57,254,3.3,0.4,10392.3
58336,20230404133317,1.2,1010.2,79,359,3.7,0.1,10228.2
58338,20230404133317,28.1,1008.7,4,286,11.1,0.2,10326.9
58414,20230404133317,34.8,1002.8,89,110,14.0,0.4,10467.3
58419,20230404133317,11.6,1024.7,26,22,0.3,0.5,10346.9
58424,20230404133317,24.9,1020.0,11,187,12.2,0.9,10181.2
58429,20230404133317,15.5,1009.5,73,310,8.4,0.7,10136.9
58436,20230404133317,14.5,1019.6,45,287,3.1,0.4,10189.4
58437,20230404133317,23.7,1016.7,85,72,8.6,0.5,10135.6
58520,20230404133317,14.6,1020.2,96,357,3.7,0.2,10356.2
58531,20230404133317,26.8,1007.9,44,252,11.1,1.1,10173.0
54406,20230404133317,0.4,1025.4,56,345,1.7,0.3,10192.2
54416,20230404133317,1.3,1025.4,62,212,1.8,1.3,10435.4
54511,20230404133317,25.5,1021.3,85,66,5.0,1.5,10063.8
58725,20230404133317,34.9,1020.2,61,210,13.6,0.3,10328.9
58730,20230404133317,34.5,1007.5,81,106,6.4,0.0,10139.7
58731,20230404133317,16.3,1012.7,17,3,2.3,0.9,10067.4
58734,20230404133317,9.0,1000.7,5,199,3.7,0.8,10252.7
58737,20230404133317,31.3,1006.8,74,318,10.7,1.0,10441.1
58744,20230404133317,15.5,1012.4,55,176,1.2,1.4,10412.3
58754,20230404133317,27.2,1009.7,38,352,1.0,0.9,10475.0
58818,20230404133317,31.9,1004.7,4,337,6.6,1.5,10496.8
58820,20230404133317,21.7,1003.6,27,33,6.6,0.3,10416.1
58834,20230404133317,19.1,1012.0,52,191,12.5,1.3,10341.2
58837,20230404133317,16.4,1008.4,14,227,6.8,1.5,10066.1
58843,20230404133317,19.5,1025.3,76,306,9.5,0.2,10213.8
58846,20230404133317,21.2,1018.3,25,257,8.4,0.6,10467.0
58847,20230404133317,26.2,1009.1,35,307,3.7,0.1,10318.1
