站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230407130107,24.3,1006.6,30,326,7.1,1.4,10027.4
58102,20230407130107,19.2,1012.9,22,76,13.1,0.4,10342.6
58118,20230407130107,26.4,1004.1,46,74,8.1,1.5,10245.6
58122,20230407130107,0.0,1024.6,20,132,7.6,0.9,10345.6
58203,20230407130107,28.2,1008.2,99,84,0.4,0.4,10078.6
58215,20230407130107,17.2,1013.5,33,200,1.6,0.9,10257.5
58221,20230407130107,23.5,1024.7,71,4,13.1,1.1,10313.5
58225,20230407130107,18.8,1004.9,18,186,13.8,1.2,10498.3
58236,20230407130107,0.1,1011.5,88,157,8.0,1.0,10099.5
58311,20230407130107,24.6,1020.6,17,173,10.8,1.2,10226.3
58314,20230407130107,3.8,1011.3,94,166,2.1,0.7,10136.5
58319,20230407130107,30.8,1025.0,2,206,12.7,1.4,10395.7
58321,20230407130107,2.5,1009.8,83,269,4.6,0.5,10315.7
58326,20230407130107,24.3,1002.4,73,352,7.5,0.8,10064.5
58336,20230407130107,2.2,1022.6,71,284,4.2,1.1,10375.3
58338,20230407130107,0.3,1000.3,33,57,1.0,1.3,10012.5
58414,20230407130107,6.2,1016.5,48,222,1.6,0.5,10162.4
58419,20230407130107,12.5,1008.2,84,278,6.2,1.1,10114.9
58424,20230407130107,2.4,1004.9,28,117,8.2,0.5,10492.8
58429,20230407130107,13.3,1001.7,84,127,9.2,0.7,10473.3
58436,20230407130107,11.7,1015.0,40,0,1.0,0.6,10371.5
58437,20230407130107,24.3,1019.1,79,260,12.6,0.1,10283.0
58520,20230407130107,29.1,1001.4,29,151,11.3,1.1,10275.2
58531,20230407130107,28.0,1011.9,2,252,11.8,0.0,10309.2
54406,20230407130107,27.9,1015.4,69,305,0.9,1.1,10227.3
54416,20230407130107,32.6,1008.3,52,300,11.9,1.0,10357.6
54511,20230407130107,9.0,1013.5,72,147,6.4,0.3,10166.7
58725,20230407130107,33.4,1010.9,28,147,1.5,0.5,10296.8
58730,20230407130107,21.8,1015.2,63,306,7.3,1.4,10408.8
58731,20230407130107,34.7,1023.2,69,168,14.0,1.2,10133.9
58734,20230407130107,21.2,1001.4,53,69,9.9,1.5,10399.1
58737,20230407130107,32.1,1025.2,68,347,8.6,0.3,10157.2
58744,20230407130107,3.9,1002.3,30,257,4.7,0.0,10246.1
58754,20230407130107,0.1,1014.4,48,157,11.6,1.2,10208.3
58818,20230407130107,10.7,1018.3,26,102,4.2,0.6,10226.3
58820,20230407130107,24.7,1003.3,32,161,8.0,0.7,10113.1
58834,20230407130107,33.5,1001.6,40,132,2.6,0.9,10047.4
