站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230404134517,30.5,1018.0,29,303,5.3,0.4,10386.8
58102,20230404134517,10.3,1025.3,28,291,7.0,0.5,10376.7
58118,20230404134517,19.4,1023.9,14,272,4.1,1.1,10159.9
58122,20230404134517,23.7,1017.8,93,232,5.9,0.9,10268.6
58203,20230404134517,4.6,1015.7,65,223,2.7,0.9,10298.4
58215,20230404134517,22.0,1024.1,68,179,0.4,0.6,10193.6
58221,20230404134517,12.9,1019.3,49,242,6.8,0.1,10182.2
58225,20230404134517,31.7,1000.5,41,213,5.0,1.2,10324.4
58236,20230404134517,1.0,1012.2,100,135,0.4,0.7,10115.9
58311,20230404134517,4.4,1011.3,98,118,10.1,0.1,10230.0
58314,20230404134517,7.6,1025.4,94,43,9.5,0.5,10087.0
58319,20230404134517,22.7,1017.5,21,346,11.2,0.8,10080.3
58321,20230404134517,15.9,1002.4,57,203,2.1,0.3,10245.6
58326,20230404134517,6.8,1024.8,17,272,8.1,0.6,10153.4
58336,20230404134517,10.6,1019.9,82,92,9.0,0.2,10153.4
58338,20230404134517,0.6,1003.9,62,332,7.4,0.5,10049.6
58414,20230404134517,10.6,1025.3,31,220,8.9,1.1,10423.3
58419,20230404134517,14.6,1022.6,62,239,12.1,0.2,10102.0
58424,20230404134517,6.2,1016.1,36,78,7.5,0.8,10034.7
58429,20230404134517,3.7,1002.6,7,215,11.5,0.8,10214.1
58436,20230404134517,28.1,1004.1,91,90,4.7,0.1,10384.6
58437,20230404134517,24.7,1025.7,7,239,11.0,0.8,10130.1
58520,20230404134517,29.8,1023.5,95,97,9.6,1.3,10149.3
58531,20230404134517,25.3,1017.4,10,342,14.5,1.2,10102.9
54406,20230404134517,8.2,1012.3,10,345,4.1,0.3,10082.3
54416,20230404134517,13.3,1005.2,71,217,13.6,0.9,10489.1
54511,20230404134517,23.0,1023.4,71,103,0.1,0.5,10423.8
58725,20230404134517,34.4,1015.3,48,334,5.0,0.8,10258.7
58730,20230404134517,28.2,1017.6,19,200,11.4,1.1,10159.0
58731,20230404134517,2.7,1001.8,6,86,5.3,1.5,10499.0
58734,20230404134517,2.8,1009.1,56,150,5.7,0.6,10446.0
58737,20230404134517,19.1,1010.8,46,281,14.3,0.4,10213.9
58744,20230404134517,0.7,1002.8,5,261,13.1,0.6,10466.7
58754,20230404134517,16.8,1011.1,20,4,3.1,1.2,10284.2
58818,20230404134517,23.5,1000.3,79,318,11.2,0.9,10295.0
58820,20230404134517,16.7,1025.8,47,114,5.6,0.7,10356.9
58834,20230404134517,11.7,1019.0,32,205,9.5,1.5,10118.0
58837,20230404134517,2.2,1010.6,89,172,1.2,1.5,10268.2
58843,20230404134517,11.0,1023.5,32,112,4.0,1.3,10346.1
58846,20230404134517,11.7,1007.6,35,96,6.0,0.4,10220.2
58847,20230404134517,25.5,1004.3,58,120,11.8,0.0,10037.4
58911,20230404134517,7.5,1013.2,5,131,8.8,0.0,10374.3
58918,20230404134517,5.0,1003.3,45,8,14.0,1.1,10283.6
58921,20230404134517,9.5,1023.3,47,347,8.5,0.8,10403.2
58926,20230404134517,14.5,1002.0,78,245,9.3,1.1,10085.2
58927,20230404134517,19.1,1024.0,5,138,0.3,0.4,10100.1
58931,20230404134517,20.5,1002.0,86,274,6.0,0.6,10334.9
58933,20230404134517,15.9,1011.7,79,344,9.6,0.8,10458.6
58936,20230404134517,14.5,1002.6,40,198,12.3,1.2,10163.1
58944,20230404134517,19.6,1010.8,82,351,2.9,0.5,10337.2
59113,20230404134517,31.7,1006.1,80,205,5.1,0.4,10165.0
59126,20230404134517,28.3,1009.1,66,154,5.6,0.3,10114.7
59133,20230404134517,17.0,1002.9,75,295,2.6,1.3,10160.4
59134,20230404134517,33.0,1011.3,61,320,8.7,0.2,10482.3
59321,20230404134517,15.0,1007.9,14,42,7.7,0.8,10080.6
52323,20230404134517,30.9,1010.5,52,44,0.9,0.8,10476.2
52418,20230404134517,32.0,1004.4,62,209,8.3,0.7,10244.6
52424,20230404134517,23.0,1010.7,74,93,8.7,0.5,10145.4
52436,20230404134517,20.5,1015.2,37,146,10.9,0.5,10358.1
52446,20230404134517,21.4,1018.8,29,209,5.6,1.1,10200.0
52447,20230404134517,20.3,1020.4,76,332,1.3,0.4,10147.4
52533,20230404134517,13.7,1014.2,10,250,8.1,1.0,10072.2
52546,20230404134517,21.4,1011.7,61,147,4.7,0.9,10362.7
52652,20230404134517,26.1,1001.8,43,86,9.4,0.6,10013.7
52661,20230404134517,18.6,1012.8,33,207,10.5,0.8,10162.8
52674,20230404134517,8.2,1006.5,53,19,2.8,1.3,10424.6
52679,20230404134517,26.5,1016.0,58,180,6.2,0.2,10309.1
52681,20230404134517,34.3,1002.4,75,107,6.7,0.0,10186.2
52787,20230404134517,6.9,1003.6,82,235,14.6,1.4,10146.2
52797,20230404134517,30.5,1008.8,34,242,2.8,0.5,10412.6
52884,20230404134517,10.2,1022.3,76,330,4.3,0.1,10301.3
52895,20230404134517,2.6,1020.0,31,349,2.4,0.4,10248.5
52983,20230404134517,4.0,1013.3,4,117,1.6,1.2,10126.7
52984,20230404134517,15.6,1000.4,56,226,8.2,0.8,10189.1
52986,20230404134517,8.8,1021.8,34,53,7.6,0.5,10146.0
52996,20230404134517,14.2,1018.4,47,202,14.9,1.2,10440.9
53821,20230404134517,16.7,1015.5,41,286,6.0,0.3,10112.0
53915,20230404134517,9.1,1026.2,49,110,8.8,1.5,10272.2
53923,20230404134517,5.7,1003.5,49,206,7.3,1.4,10407.2
56074,20230404134517,18.1,1026.3,56,224,3.9,0.1,10330.1
56080,20230404134517,34.4,1018.1,10,113,11.8,1.0,10378.4
56093,20230404134517,10.3,1024.2,8,246,13.1,0.7,10438.4
56096,20230404134517,12.7,1024.0,10,83,0.5,0.2,10193.6
57014,20230404134517,22.9,1020.9,41,41,13.9,0.7,10131.9
57996,20230404134517,30.1,1020.5,16,238,8.2,0.4,10451.3
59072,20230404134517,33.9,1011.8,15,153,2.6,0.1,10251.1
59082,20230404134517,27.2,1024.8,41,129,8.8,0.2,10255.3
